story,requirement
US-01-01-01,REQ-00-00-00-04
US-01-01-01,REQ-00-00-00-06
US-01-01-01,REQ-00-00-00-08
US-01-01-01,REQ-01-01-01-01
US-01-01-01,REQ-01-01-01-02
US-01-01-01,REQ-01-01-01-03
US-01-01-02,REQ-00-00-00-06
US-01-01-02,REQ-01-01-02-01
US-01-01-02,REQ-01-01-02-02
US-01-01-02,REQ-01-01-02-03
US-01-01-03,REQ-00-00-00-01
US-01-01-03,REQ-00-00-00-06
US-01-01-03,REQ-01-01-03-01
US-01-01-03,REQ-01-01-03-02
US-01-01-03,REQ-01-01-03-03
US-01-01-04,REQ-00-00-00-01
US-01-01-04,REQ-00-00-00-04
US-01-01-04,REQ-00-00-00-06
US-01-01-04,REQ-01-01-04-01
US-01-01-04,REQ-01-01-04-02
US-01-01-04,REQ-01-01-04-03
US-01-01-04,REQ-01-01-04-04
US-01-01-04,REQ-01-01-04-05
US-01-01-05,REQ-00-00-00-04
US-01-01-05,REQ-00-00-00-05
US-01-01-05,REQ-00-00-00-06
US-01-01-05,REQ-01-01-05-01
US-01-01-05,REQ-01-01-05-02
US-01-01-05,REQ-01-01-05-03
US-01-01-06,REQ-00-00-00-08
US-01-01-06,REQ-01-01-06-01
US-01-01-06,REQ-01-01-06-02
US-01-01-06,REQ-01-01-06-03
US-01-01-07,REQ-00-00-00-03
US-01-01-07,REQ-00-00-00-07
US-01-01-07,REQ-00-00-00-13
US-01-01-07,REQ-00-00-00-14
US-01-01-07,REQ-01-01-07-01
US-01-01-07,REQ-01-01-07-02
US-01-01-07,REQ-01-01-07-03
US-01-01-08,REQ-00-00-00-01
US-01-01-08,REQ-00-00-00-03
US-01-01-08,REQ-01-01-08-01
US-01-01-08,REQ-01-01-08-02
US-01-01-08,REQ-01-01-08-03
US-01-01-09,REQ-01-01-09-01
US-01-01-09,REQ-01-01-09-02
US-01-01-09,REQ-01-01-09-03
US-01-01-09,REQ-01-01-09-04
US-01-01-09,REQ-01-01-09-05
US-01-01-09,REQ-01-01-09-06
US-01-01-10,REQ-00-00-00-01
US-01-01-10,REQ-00-00-00-05
US-01-01-10,REQ-01-01-10-01
US-01-01-10,REQ-01-01-10-02
US-01-01-10,REQ-01-01-10-03
US-01-01-11,REQ-01-01-11-01
US-01-01-11,REQ-01-01-11-02
US-01-01-11,REQ-01-01-11-03
US-01-01-11,REQ-01-01-11-04
US-01-01-11,REQ-01-01-11-05
US-01-01-11,REQ-01-01-11-06
US-01-01-11,REQ-01-01-11-07
US-01-01-12,REQ-00-00-00-01
US-01-01-12,REQ-00-00-00-04
US-01-01-12,REQ-01-01-12-01
US-01-01-12,REQ-01-01-12-02
US-01-01-12,REQ-01-01-12-03
US-01-01-13,REQ-00-00-00-05
US-01-01-13,REQ-00-00-00-06
US-01-01-13,REQ-00-00-00-09
US-01-01-13,REQ-01-01-13-01
US-01-01-13,REQ-01-01-13-02
US-01-01-14,REQ-00-00-00-02
US-01-01-14,REQ-00-00-00-03
US-01-01-14,REQ-00-00-00-06
US-01-01-14,REQ-00-00-00-10
US-01-01-14,REQ-01-01-14-01
US-01-01-15,REQ-01-01-15-01
US-01-01-15,REQ-01-01-15-02
US-01-01-15,REQ-01-01-15-03
US-01-01-15,REQ-01-01-15-04
US-01-01-16,REQ-00-00-00-01
US-01-01-16,REQ-00-00-00-06
US-01-01-16,REQ-01-01-16-01
US-01-01-16,REQ-01-01-16-02
US-01-01-16,REQ-01-01-16-03
US-01-01-17,REQ-00-00-00-06
US-01-01-17,REQ-01-01-17-01
US-01-01-17,REQ-01-01-17-02
US-01-01-18,REQ-00-00-00-04
US-01-01-18,REQ-01-01-18-01
US-01-01-18,REQ-01-01-18-02
US-01-01-18,REQ-01-01-18-03
US-01-01-18,REQ-01-01-18-04
US-01-01-19,REQ-00-00-00-06
US-01-01-19,REQ-01-01-19-01
US-01-01-19,REQ-01-01-19-02
US-01-01-19,REQ-01-01-19-03
US-01-01-20,REQ-00-00-00-05
